City, State, Lat, Long 
Monjili,Assam, 25.848125, 92.48207099999999
Umphanchi,Assam, 25.844938, 92.47487699999999
Rongmandiu,Assam, 25.7993549, 92.38143199999999
Oklokpi,Assam, 25.747885, 92.365028
Murap,Assam, 25.794033, 92.36842299999999
Lang-Ikso,Assam, 25.78488, 92.324135
Serengdap,Assam, 25.777197, 92.326767
Rongmandu(Engti Gaon),Assam, 25.88669, 92.56166900000001
Umlado,Assam, 25.775358, 92.36026
Singdoloi,Assam, 25.765617, 92.400566
Morinto,Assam, 25.752972, 92.3858489
Birmaine,Assam, 25.792591, 92.425606
Patikyndok,Assam, 25.913984, 92.410469
Bukiching,Assam, None
Langteng Rongphar,Assam, None
Rongchek,Assam, 25.872484, 92.49134099999999
Tirkim,Assam, 25.834446, 92.57481399999999
Langmet-2,Assam, None
Umrini Gaon,Assam, 25.861038, 92.51997399999999
Amtereng,Assam, 25.841415, 92.4148249
Borpu,Assam, 25.918047, 92.573807
Umrinti Gaon No.2,Assam, 25.911984, 92.56777199999999
Langmet-1,Assam, 25.852493, 92.52257499999999
Umpaklong,Assam, 25.742994, 92.384186
Chiri,Assam, 24.8048581, 93.0219499
Engti Gaon,Assam, 25.980165, 92.493279
Maina Hanse Gaon,Assam, 25.987453, 92.530441
Langang Engti Gaon,Assam, 26.006384, 92.502747
Solu Rongphar,Assam, 26.003229, 92.52660399999999
Wadilangso,Assam, 26.008829, 92.53164699999999
Kongehing Tokbi Gaon,Assam, 26.01009, 92.516037
Masereng,Assam, 25.906317, 92.45513199999999
Rongchomang Sevar,Assam, 25.8924619, 92.45400200000002
Parbat Gaon(Rongkhlan),Assam, 25.897488, 92.464928
Patarao,Assam, 25.894327, 92.4592739
Maine Bey Gaon,Assam, 25.889757, 92.46817
Arlong Sarlong,Assam, 25.75963, 92.55451200000002
Chinong Kadai,Assam, 25.899216, 92.3981249
Mane Teron Gaon,Assam, 25.887117, 92.413094
Lang Makang,Assam, 25.821043, 92.53273
Rongkhang,Assam, 25.767965, 92.5680919
Rongkhang,Assam, 25.767965, 92.5680919
Baithalangso,Assam, 25.9650553, 92.5941239
Rongtara,Assam, 26.465397, 93.13540599999999
Tika,Assam, 25.9486078, 92.6052838
Umcheret,Assam, 25.926466, 92.622765
Uzandonka,Assam, 25.88332, 92.59716
Linchika,Assam, 25.882483, 92.6766279
Somupong,Assam, 25.878948, 92.678314
Amsalam,Assam, 25.871996, 92.67608600000001
